{1 JetEta 0 None ScaleFactor}
-5.191 -3.839 3 1.0100 0.9263 1.0937
-3.839 -3.489 3 1.0950 1.0624 1.1275
-3.489 -3.139 3 1.0601 1.0325 1.0878
-3.139 -2.964 3 1.2481 1.2247 1.2714
-2.964 -2.853 3 1.3650 1.1308 1.5992
-2.853 -2.650 3 1.1917 1.0423 1.3411
-2.650 -2.500 3 1.1328 0.9717 1.2940
-2.500 -2.322 3 1.0301 0.9606 1.0996
-2.322 -2.172 3 1.0631 1.0068 1.1194
-2.172 -2.043 3 1.1631 1.1269 1.1994
-2.043 -1.930 3 1.1044 1.0825 1.1264
-1.930 -1.740 3 1.0985 1.0744 1.1227
-1.740 -1.566 3 1.0775 1.0392 1.1158
-1.566 -1.305 3 1.1125 1.0926 1.1324
-1.305 -1.044 3 1.1049 1.0905 1.1193
-1.044 -0.783 3 1.1067 1.0727 1.1406
-0.783 -0.522 3 1.1208 1.0977 1.1438
-0.522 -0.261 3 1.1178 1.0785 1.1571
-0.261 -0.000 3 1.0975 1.0660 1.1290
0.000 0.261 3 1.0975 1.0660 1.1290
0.261 0.522 3 1.1178 1.0785 1.1571
0.522 0.783 3 1.1208 1.0977 1.1438
0.783 1.044 3 1.1067 1.0727 1.1406
1.044 1.305 3 1.1049 1.0905 1.1193
1.305 1.566 3 1.1125 1.0926 1.1324
1.566 1.740 3 1.0775 1.0392 1.1158
1.740 1.930 3 1.0985 1.0744 1.1227
1.930 2.043 3 1.1044 1.0825 1.1264
2.043 2.172 3 1.1631 1.1269 1.1994
2.172 2.322 3 1.0631 1.0068 1.1194
2.322 2.500 3 1.0301 0.9606 1.0996
2.500 2.650 3 1.1328 0.9717 1.2940
2.650 2.853 3 1.1917 1.0423 1.3411
2.853 2.964 3 1.3650 1.1308 1.5992
2.964 3.139 3 1.2481 1.2247 1.2714
3.139 3.489 3 1.0601 1.0325 1.0878
3.489 3.839 3 1.0950 1.0624 1.1275
3.839 5.191 3 1.0100 0.9263 1.0937
